"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1923-01-01,11.31,0.650
1923-02-01,11.31,0.650
1923-03-01,11.31,0.650
1923-04-01,11.24,0.650
1923-05-01,11.24,0.650
1923-06-01,11.18,0.650
1923-07-01,11.05,0.650
1923-08-01,11.11,0.650
1923-09-01,11.05,0.650
1923-10-01,10.98,0.650
1923-11-01,10.98,0.650
1923-12-01,10.98,0.650
1924-01-01,11.32,0.670
1924-02-01,11.39,0.670
1924-03-01,11.45,0.670
1924-04-01,11.52,0.670
1924-05-01,11.52,0.670
1924-06-01,11.52,0.670
1924-07-01,11.45,0.670
1924-08-01,11.52,0.670
1924-09-01,11.45,0.670
1924-10-01,11.39,0.670
1924-11-01,11.39,0.670
1924-12-01,11.32,0.670
1925-01-01,11.66,0.690
1925-02-01,11.73,0.690
1925-03-01,11.66,0.690
1925-04-01,11.73,0.690
1925-05-01,11.66,0.690
1925-06-01,11.53,0.690
1925-07-01,11.39,0.690
1925-08-01,11.39,0.690
1925-09-01,11.39,0.690
1925-10-01,11.39,0.690
1925-11-01,11.20,0.690
1925-12-01,11.27,0.690
1926-01-01,10.12,0.620
1926-02-01,10.12,0.620
1926-03-01,10.18,0.620
1926-04-01,10.12,0.620
1926-05-01,10.18,0.620
1926-06-01,10.24,0.620
1926-07-01,10.36,0.620
1926-08-01,10.42,0.620
1926-09-01,10.36,0.620
1926-10-01,10.30,0.620
1926-11-01,10.24,0.620
1926-12-01,10.24,0.620
1927-01-01,9.52,0.570
1927-02-01,9.58,0.570
1927-03-01,9.63,0.570
1927-04-01,9.63,0.570
1927-05-01,9.58,0.570
1927-06-01,9.47,0.570
1927-07-01,9.63,0.570
1927-08-01,9.69,0.570
1927-09-01,9.63,0.570
1927-10-01,9.58,0.570
1927-11-01,9.63,0.570
1927-12-01,9.63,0.570
1928-01-01,9.80,0.580
1928-02-01,9.91,0.580
1928-03-01,9.91,0.580
1928-04-01,9.91,0.580
1928-05-01,9.86,0.580
1928-06-01,9.91,0.580
1928-07-01,9.91,0.580
1928-08-01,9.91,0.580
1928-09-01,9.80,0.580
1928-10-01,9.86,0.580
1928-11-01,9.86,0.580
1928-12-01,9.91,0.580
1929-01-01,9.06,0.530
1929-02-01,9.06,0.530
1929-03-01,9.11,0.530
1929-04-01,9.17,0.530
1929-05-01,9.11,0.530
1929-06-01,9.06,0.530
1929-07-01,8.95,0.530
1929-08-01,8.95,0.530
1929-09-01,8.95,0.530
1929-10-01,8.95,0.530
1929-11-01,8.95,0.530
1929-12-01,9.01,0.530
1930-01-01,6.50,0.380
1930-02-01,6.53,0.380
1930-03-01,6.57,0.380
1930-04-01,6.53,0.380
1930-05-01,6.57,0.380
1930-06-01,6.61,0.380
1930-07-01,6.69,0.380
1930-08-01,6.73,0.380
1930-09-01,6.69,0.380
1930-10-01,6.73,0.380
1930-11-01,6.77,0.380
1930-12-01,6.90,0.380
1931-01-01,5.33,0.290
1931-02-01,5.40,0.290
